analysis-model-api                 Analysis Model API Plugin                       12.1.0
script-security                    Script Security Plugin                          1326.vdb_c154de8669 (1335.vf07d9ce377a_e)
snakeyaml-api                      SnakeYAML API Plugin                            2.2-111.vc6598e30cc65
sonar                              SonarQube Scanner for Jenkins                   2.17.2
ssh-credentials                    SSH Credentials Plugin                          337.v395d2403ccd4
ssh-slaves                         SSH Build Agents plugin                         2.948.vb_8050d697fec
sshd                               SSH server                                      3.322.v159e91f6a_550
structs                            Structs Plugin                                  337.v1b_04ea_4df7c8
theme-manager                      Theme Manager                                   215.vc1ff18d67920
thinBackup                         ThinBackup                                      1.19
timestamper                        Timestamper                                     1.26
token-macro                        Token Macro Plugin                              400.v35420b_922dcb_
trilead-api                        Trilead API Plugin                              2.142.v748523a_76693
variant                            Variant Plugin                                  60.v7290fc0eb_b_cd
warnings-ng                        Warnings Plugin                                 11.2.2
workflow-aggregator                Pipeline                                        596.v8c21c963d92d
workflow-api                       Pipeline: API                                   1291.v51fd2a_625da_7
workflow-basic-steps               Pipeline: Basic Steps                           1049.v257a_e6b_30fb_d
workflow-cps                       Pipeline: Groovy                                3894.vd0f0248b_a_fc4
workflow-durable-task-step         Pipeline: Nodes and Processes                   1336.v768003e07199
workflow-job                       Pipeline: Job                                   1400.v7fd111b_ec82f
workflow-multibranch               Pipeline: Multibranch                           773.vc4fe1378f1d5
workflow-scm-step                  Pipeline: SCM Step                              427.v4ca_6512e7df1
workflow-step-api                  Pipeline: Step API                              657.v03b_e8115821b_
workflow-support                   Pipeline: Supporting APIs                       896.v175a_a_9c5b_78f
ws-cleanup                         Workspace Cleanup Plugin                        0.45
